start,end,word,segment_id,speaker
0.0,0.20000000298023224,I've,,
0.20000000298023224,0.5199999809265137,also,,SPEAKER_04
0.5199999809265137,0.9599999785423279,eaten,,SPEAKER_04
0.9599999785423279,2.0,um,,SPEAKER_04
3.9000000953674316,4.300000190734863,Vegan,,SPEAKER_04
4.300000190734863,4.699999809265137,sausage,,SPEAKER_04
4.699999809265137,4.980000019073486,rolls,,SPEAKER_04
5.139999866485596,5.539999961853027,Have,,SPEAKER_04
5.539999961853027,5.639999866485596,you,,SPEAKER_04
5.639999866485596,5.860000133514404,eaten,,SPEAKER_04
5.860000133514404,6.320000171661377,a,,SPEAKER_04
6.320000171661377,6.320000171661377,vegan,,SPEAKER_04
6.320000171661377,6.340000152587891,sausage,,SPEAKER_04
6.340000152587891,6.340000152587891,roll,,SPEAKER_04
6.360000133514404,6.460000038146973,I've,,SPEAKER_08
6.460000038146973,6.559999942779541,not,,SPEAKER_08
6.639999866485596,6.679999828338623,but,,SPEAKER_08
6.679999828338623,6.840000152587891,it's,,SPEAKER_08
6.840000152587891,6.940000057220459,meant,,SPEAKER_08
6.940000057220459,7.019999980926514,to,,SPEAKER_08
7.019999980926514,7.119999885559082,be,,SPEAKER_08
7.119999885559082,7.199999809265137,a,,SPEAKER_08
7.199999809265137,7.440000057220459,monster,,SPEAKER_08
7.440000057220459,7.639999866485596,hit,,SPEAKER_08
7.639999866485596,7.739999771118164,for,,SPEAKER_08
7.739999771118164,7.940000057220459,that,,SPEAKER_08
7.940000057220459,8.180000305175781,bakery,,SPEAKER_08
8.180000305175781,8.479999542236328,chain,,SPEAKER_08
8.479999542236328,8.699999809265137,isn't,,SPEAKER_08
8.699999809265137,8.699999809265137,it,,SPEAKER_08
13.619999885559082,14.020000457763672,I,,SPEAKER_05
14.020000457763672,14.420000076293945,don't,,SPEAKER_05
14.420000076293945,14.65999984741211,know,,SPEAKER_05
14.65999984741211,14.880000114440918,why,,SPEAKER_05
14.880000114440918,15.300000190734863,people,,SPEAKER_05
